"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180411 7.0 A 221.1 0.1550275 0.8563916
20180411 8.0 A 221.1 0.1455873 0.8645144
20180411 9.0 A 221.1 0.1372099 0.8717872
20180411 10.0 A 221.1 0.1293331 0.8786812
20180411 11.0 A 221.1 0.1231966 0.8840898
20180411 12.0 A 221.1 0.1194603 0.8873992
20180411 13.0 A 221.1 0.1200299 0.886894
20180411 14.0 A 221.1 0.1207309 0.8862724
20180411 15.0 A 221.1 0.1202126 0.8867319
20180411 16.0 A 221.1 0.1236996 0.8836453
20180411 17.0 A 221.1 0.1294724 0.8785589
20180411 18.0 A 221.1 0.1344897 0.8741619
20180411 19.0 A 221.1 0.1369373 0.8720249
20180411 20.0 A 221.1 0.1375165 0.87152
20180411 21.0 A 221.1 0.137706 0.8713548
20180411 22.0 A 221.1 0.1421886 0.8674576
20180411 23.0 A 221.1 0.1527619 0.8583341
20180411 24.0 A 221.1 0.163188 0.8494315
20180411 25.0 A 221.1 0.1655055 0.8474652
20180411 26.0 A 221.1 0.1616506 0.8507384
20180411 27.0 A 221.1 0.1587107 0.8532432
20180411 28.0 A 221.1 0.1546436 0.8567205
20180411 29.0 A 221.1 0.1475743 0.8627983
20180411 30.0 A 221.1 0.1400066 0.8693525
20180411 31.0 A 221.1 0.1333741 0.8751376
20180411 32.0 A 221.1 0.128265 0.8796203
20180411 33.0 A 221.1 0.1230862 0.8841875
20180411 34.0 A 221.1 0.1176977 0.8889648
20180411 35.0 A 221.1 0.113155 0.8930122
