"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20100619 0.0 A 221.1 0.02964973 0.9707855
20100619 6.0 A 221.1 0.02380352 0.9764776
20100619 12.0 A 221.1 0.02543982 0.974881
20100619 18.0 A 221.1 0.03127993 0.9692042
20100620 0.0 A 221.1 0.03540488 0.9652145
20100620 6.0 A 221.1 0.05482412 0.9466516
20100620 12.0 A 221.1 0.08117326 0.9220339
20100620 18.0 A 221.1 0.1001427 0.9047083
20100621 0.0 A 221.1 0.09731492 0.9072702
20100621 6.0 A 221.1 0.08737233 0.9163359
20100621 12.0 A 221.1 0.05730703 0.9443041
20100621 18.0 A 221.1 0.07979522 0.9233054
20100622 0.0 A 221.1 0.05855942 0.9431222
20100622 6.0 A 221.1 0.05161481 0.9496946
20100622 12.0 A 221.1 0.03637697 0.9642767
20100622 18.0 A 221.1 0.04034896 0.9604542
20100623 0.0 A 221.1 0.05016374 0.9510737
20100623 6.0 A 221.1 0.06884953 0.9334671
20100623 12.0 A 221.1 0.09647404 0.9080335
20100623 18.0 A 221.1 0.1788974 0.8361917
20100624 0.0 A 221.1 0.1618437 0.8505742
20100624 6.0 A 221.1 0.1378704 0.8712116
20100624 12.0 A 221.1 0.100542 0.9043471
20100624 18.0 A 221.1 0.08350487 0.9198866
20100625 0.0 A 221.1 0.08909651 0.9147573
20100625 6.0 A 221.1 0.06417125 0.9378444
20100625 12.0 A 221.1 0.05715039 0.944452
20100625 18.0 A 221.1 0.05794984 0.9436973
20100626 0.0 A 221.1 0.06331098 0.9386515
20100626 6.0 A 221.1 0.0387651 0.9619767
20100626 12.0 A 221.1 0.05207273 0.9492598
20100626 18.0 A 221.1 0.05135395 0.9499424
20100627 0.0 A 221.1 0.04276612 0.9581355
20100627 6.0 A 221.1 0.03215467 0.9683568
20100627 12.0 A 221.1 0.03769813 0.9630036
20100627 18.0 A 221.1 0.04088972 0.959935
20100628 0.0 A 221.1 0.05209462 0.949239
20100628 6.0 A 221.1 0.05794529 0.9437016
20100628 12.0 A 221.1 0.06573057 0.9363831
20100628 18.0 A 221.1 0.05609387 0.9454504
20100629 0.0 A 221.1 0.02626479 0.9740771
20100629 6.0 A 221.1 0.02373983 0.9765397
20100629 12.0 A 221.1 0.01799957 0.9821615
20100629 18.0 A 221.1 0.02209977 0.9781426
20100630 0.0 A 221.1 0.0160026 0.9841248
20100630 6.0 A 221.1 0.0128708 0.9872117
20100630 12.0 A 221.1 0.01172717 0.9883413
20100630 18.0 A 221.1 0.02846285 0.9719384
20100701 0.0 A 221.1 0.03997439 0.960814
20100701 6.0 A 221.1 0.02633535 0.9740084
20100701 12.0 A 221.1 0.01938887 0.9807979
20100701 18.0 A 221.1 0.02712126 0.9732432
20100702 0.0 A 221.1 0.01355715 0.9865343
20100702 6.0 A 221.1 0.04617536 0.9548745
20100702 12.0 A 221.1 0.01921863 0.9809649
20100702 18.0 A 221.1 0.03298365 0.9675544
20100703 0.0 A 221.1 0.02991148 0.9705314
20100703 6.0 A 221.1 0.02623812 0.9741031
20100703 12.0 A 221.1 0.03658827 0.964073
20100703 18.0 A 221.1 0.05073564 0.9505299
20100704 0.0 A 221.1 0.04960924 0.9516012
20100704 6.0 A 221.1 0.07663086 0.9262317
20100704 12.0 A 221.1 0.08111295 0.9220895
20100704 18.0 A 221.1 0.08574953 0.9178241
