"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20161124 0.0 S 221.1 0.4197559 0.6572072
20161124 6.0 S 221.1 0.1411439 0.8683644
20161124 12.0 S 221.1 0.1100234 0.8958132
20161124 18.0 S 221.1 0.09009456 0.9138448
20161125 0.0 S 221.1 0.109152 0.8965942
20161125 6.0 S 221.1 0.02566936 0.9746573
20161125 12.0 S 221.1 0.02963599 0.9707989
20161125 18.0 S 221.1 0.02898032 0.9714356
20161126 0.0 S 221.1 0.04694483 0.95414
20161126 6.0 S 221.1 0.06627282 0.9358755
20161126 12.0 S 221.1 0.08819721 0.9155803
20161126 18.0 S 221.1 0.0962405 0.9082456
20161127 0.0 S 221.1 0.08895324 0.9148884
20161127 6.0 S 221.1 0.1414402 0.8681071
20161127 12.0 S 221.1 0.1472039 0.863118
20161127 18.0 S 221.1 0.0826023 0.9207172
20161128 0.0 S 221.1 0.223406 0.7997901
20161128 6.0 S 221.1 0.1754103 0.8391127
20161128 12.0 S 221.1 0.1605603 0.8516665
20161128 18.0 S 221.1 0.05257365 0.9487844
20161129 0.0 S 221.1 0.3407133 0.7112628
20161129 3.0 S 221.1 0.2831518 0.7534054
20161129 6.0 S 221.1 0.1560736 0.8554962
20161129 9.0 S 221.1 0.118965 0.8878389
20161129 12.0 S 221.1 0.0832973 0.9200776
20161129 15.0 S 221.1 0.1504827 0.8602926
20161129 18.0 S 221.1 0.1173045 0.8893144
20161129 21.0 S 221.1 0.1749576 0.8394926
20161130 0.0 S 221.1 0.290993 0.7475209
20161130 3.0 S 221.1 0.2595233 0.7714192
20161130 6.0 S 221.1 0.1990772 0.8194866
20161130 9.0 S 221.1 0.2148415 0.8066693
20161130 12.0 S 221.1 0.1330219 0.8754459
20161130 15.0 S 221.1 0.1354419 0.8733299
20161130 18.0 S 221.1 0.1362323 0.8726399
20161130 21.0 S 221.1 0.1500017 0.8607065
20161201 0.0 S 221.1 0.2043655 0.8151644
20161201 3.0 S 221.1 0.2411349 0.7857356
20161201 6.0 S 221.1 0.1124116 0.8936763
20161201 9.0 S 221.1 0.1952994 0.8225883
20161201 12.0 S 221.1 0.2793645 0.7562642
20161201 15.0 S 221.1 0.2578368 0.7727213
20161201 18.0 S 221.1 0.3132302 0.7310816
20161201 21.0 S 221.1 0.5585491 0.5720385
20161202 0.0 S 221.1 0.5497965 0.5770672
20161202 3.0 S 221.1 0.4032629 0.6681364
20161202 6.0 S 221.1 0.2998209 0.7409509
20161202 9.0 S 221.1 0.3676537 0.6923569
20161202 12.0 S 221.1 0.2007888 0.8180852
20161202 15.0 S 221.1 0.2523106 0.7770034
20161202 18.0 S 221.1 0.414535 0.6606474
20161202 21.0 S 221.1 1.003873 0.3664575
20161203 0.0 S 221.1 1.18131 0.3068764
20161203 3.0 S 221.1 0.5775722 0.5612594
20161203 6.0 S 221.1 0.6230357 0.5363139
20161203 9.0 S 221.1 1.79502 0.1661241
20161203 12.0 S 221.1 0.8802157 0.4146935
20161203 15.0 S 221.1 1.502496 0.222574
20161203 18.0 S 221.1 2.01691 0.1330659
20161203 21.0 S 221.1 0.6804852 0.5063713
20161204 0.0 S 221.1 0.6527035 0.5206364
20161204 3.0 S 221.1 0.5854551 0.5568524
20161204 6.0 S 221.1 0.2734339 0.7607626
20161204 9.0 S 221.1 0.2067722 0.8132049
20161204 12.0 S 221.1 0.1537884 0.8574535
20161204 15.0 S 221.1 0.272381 0.7615641
20161204 18.0 S 221.1 0.401224 0.6695001
20161204 21.0 S 221.1 0.6203225 0.537771
20161205 0.0 S 221.1 0.758363 0.4684326
20161205 3.0 S 221.1 1.068128 0.3436511
20161205 6.0 S 221.1 1.883664 0.152032
20161205 9.0 S 221.1 2.33054 0.09724319
20161205 12.0 S 221.1 1.881214 0.152405
20161205 15.0 S 221.1 2.717805 0.06601953
20161205 18.0 S 221.1 1.256133 0.2847531
20161205 21.0 S 221.1 0.9835843 0.3739683
20161206 0.0 S 221.1 0.6826012 0.5053009
20161206 3.0 S 221.1 0.6738934 0.5097201
20161206 6.0 S 221.1 0.7792512 0.4587494
20161206 9.0 S 221.1 0.6854663 0.5038552
20161206 12.0 S 221.1 0.7211434 0.486196
20161206 15.0 S 221.1 0.6358857 0.5294663
20161206 18.0 S 221.1 0.4096812 0.6638619
20161206 21.0 S 221.1 0.5164896 0.5966112
20161207 0.0 S 221.1 0.6972142 0.4979706
20161207 3.0 S 221.1 0.790726 0.4535154
20161207 6.0 S 221.1 0.6830504 0.505074
20161207 9.0 S 221.1 0.513371 0.5984747
20161207 12.0 S 221.1 0.3348372 0.7154545
20161207 15.0 S 221.1 0.3404668 0.7114382
20161207 18.0 S 221.1 0.4015056 0.6693116
20161207 21.0 S 221.1 0.5784413 0.5607718
20161208 0.0 S 221.1 0.7553144 0.4698629
20161208 3.0 S 221.1 0.7635102 0.4660277
20161208 6.0 S 221.1 0.6759969 0.5086491
20161208 9.0 S 221.1 0.6559017 0.5189739
20161208 12.0 S 221.1 0.5110013 0.5998946
20161208 15.0 S 221.1 0.5065589 0.6025655
20161208 18.0 S 221.1 0.5300691 0.5885643
20161208 21.0 S 221.1 0.4970699 0.6083105
20161209 0.0 S 221.1 0.7078966 0.4926794
20161209 3.0 S 221.1 0.6422353 0.5261151
20161209 6.0 S 221.1 0.709839 0.4917234
20161209 9.0 S 221.1 0.652171 0.5209136
20161209 12.0 S 221.1 0.5185921 0.5953581
20161209 15.0 S 221.1 0.4853993 0.6154514
20161209 18.0 S 221.1 0.4591901 0.6317952
20161209 21.0 S 221.1 0.4843486 0.6160984
20161210 0.0 S 221.1 0.5240139 0.592139
20161210 3.0 S 221.1 0.4994898 0.6068402
20161210 6.0 S 221.1 0.4403138 0.6438344
20161210 9.0 S 221.1 0.5319854 0.5874375
20161210 12.0 S 221.1 0.5045786 0.60376
20161210 15.0 S 221.1 0.5306787 0.5882056
20161210 18.0 S 221.1 0.5070017 0.6022987
20161210 21.0 S 221.1 0.6023074 0.5475468
