"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20090201 0.0 L 221.1 0.283659 0.7530234
20090201 6.0 L 221.1 0.1988346 0.8196855
20090201 12.0 L 221.1 0.1866114 0.8297661
20090201 18.0 L 221.1 0.1488575 0.8616919
20090202 0.0 L 221.1 0.1389472 0.8702739
20090202 6.0 L 221.1 0.1566802 0.8549774
20090202 12.0 L 221.1 0.1600901 0.852067
20090202 18.0 L 221.1 0.1649428 0.8479422
20090203 0.0 L 221.1 0.4872407 0.6143191
20090203 6.0 L 221.1 0.7001381 0.4965167
20090203 12.0 L 221.1 0.5497251 0.5771084
20090203 18.0 L 221.1 0.4045463 0.6672795
20090204 0.0 L 221.1 0.3098269 0.7335739
20090204 6.0 L 221.1 0.2848627 0.7521175
20090204 12.0 L 221.1 0.5299302 0.588646
20090204 18.0 L 221.1 0.3835371 0.6814468
20090205 0.0 L 221.1 0.4052728 0.6667949
20090205 6.0 L 221.1 0.4570588 0.6331431
20090205 12.0 L 221.1 0.445253 0.6406622
20090205 18.0 L 221.1 0.261509 0.769889
20090206 0.0 L 221.1 0.2356091 0.7900895
20090206 6.0 L 221.1 0.1876534 0.828902
20090206 12.0 L 221.1 0.1215714 0.8855278
20090206 18.0 L 221.1 0.08774449 0.9159949
20090207 0.0 L 221.1 0.1363242 0.8725597
20090207 6.0 L 221.1 0.1145272 0.8917877
20090207 12.0 L 221.1 0.08397276 0.9194563
20090207 18.0 L 221.1 0.07759353 0.9253405
20090208 0.0 L 221.1 0.09958223 0.9052155
20090208 6.0 L 221.1 0.1058283 0.8995791
20090208 12.0 L 221.1 0.09610917 0.9083648
20090208 18.0 L 221.1 0.08266549 0.9206591
20090209 0.0 L 221.1 0.1046279 0.9006596
20090209 6.0 L 221.1 0.1253408 0.8821962
20090209 12.0 L 221.1 0.09891146 0.9058229
20090209 18.0 L 221.1 0.08242778 0.9208779
20090210 0.0 L 221.1 0.1155543 0.8908722
20090210 6.0 L 221.1 0.1779743 0.836964
20090210 12.0 L 221.1 0.1536352 0.8575848
20090210 18.0 L 221.1 0.1107664 0.8951478
20090211 0.0 L 221.1 0.1564901 0.85514
20090211 6.0 L 221.1 0.1736388 0.8406005
20090211 12.0 L 221.1 0.1215968 0.8855054
20090211 18.0 L 221.1 0.1451577 0.8648859
20090212 0.0 L 221.1 0.2711811 0.7624784
20090212 6.0 L 221.1 0.2482429 0.7801704
20090212 12.0 L 221.1 0.2081489 0.8120861
20090212 18.0 L 221.1 0.1430982 0.8666689
20090213 0.0 L 221.1 0.1846177 0.8314221
20090213 6.0 L 221.1 0.1733297 0.8408603
20090213 12.0 L 221.1 0.1858099 0.8304315
20090213 18.0 L 221.1 0.1717691 0.8421736
20090214 0.0 L 221.1 0.1923539 0.8250148
20090214 6.0 L 221.1 0.2455445 0.7822785
20090214 12.0 L 221.1 0.2082989 0.8119643
20090214 18.0 L 221.1 0.1595008 0.8525693
20090215 0.0 L 221.1 0.1867579 0.8296446
20090215 6.0 L 221.1 0.2296608 0.7948032
20090215 12.0 L 221.1 0.2278081 0.7962771
20090215 18.0 L 221.1 0.1888646 0.8278986
20090216 0.0 L 221.1 0.2123324 0.8086958
20090216 6.0 L 221.1 0.5274879 0.5900854
20090216 12.0 L 221.1 0.2818816 0.754363
20090216 18.0 L 221.1 0.2034324 0.8159254
20090217 0.0 L 221.1 0.2882283 0.7495904
20090217 6.0 L 221.1 0.1599394 0.8521954
20090217 12.0 L 221.1 0.1607514 0.8515038
20090217 18.0 L 221.1 0.1214556 0.8856304
20090218 0.0 L 221.1 0.1014413 0.9035342
20090218 6.0 L 221.1 0.102344 0.902719
20090218 12.0 L 221.1 0.1024271 0.9026439
20090218 18.0 L 221.1 0.09348933 0.9107477
20090219 0.0 L 221.1 0.09809321 0.9065644
20090219 6.0 L 221.1 0.09751522 0.9070885
20090219 12.0 L 221.1 0.1058879 0.8995254
20090219 18.0 L 221.1 0.1263501 0.8813063
20090220 0.0 L 221.1 0.3794734 0.6842217
20090220 6.0 L 221.1 0.5286307 0.5894115
20090220 12.0 L 221.1 0.3694312 0.6911274
20090220 18.0 L 221.1 0.4542529 0.6349221
20090221 0.0 L 221.1 0.2548588 0.7750259
20090221 6.0 L 221.1 0.2406533 0.7861141
20090221 12.0 L 221.1 0.1463189 0.8638822
20090221 18.0 L 221.1 0.1248759 0.8826064
20090222 0.0 L 221.1 0.2449607 0.7827353
20090222 6.0 L 221.1 0.1444385 0.8655081
20090222 12.0 L 221.1 0.2311072 0.7936543
20090222 18.0 L 221.1 0.292413 0.7464602
20090223 0.0 L 221.1 0.2871856 0.7503725
20090223 6.0 L 221.1 0.1910103 0.8261241
20090223 12.0 L 221.1 0.1617244 0.8506756
20090223 18.0 L 221.1 0.1283028 0.879587
20090224 0.0 L 221.1 0.2269551 0.7969565
20090224 6.0 L 221.1 0.1387051 0.8704847
20090224 12.0 L 221.1 0.1395788 0.8697245
20090224 18.0 L 221.1 0.1242744 0.8831375
20090225 0.0 L 221.1 0.1374946 0.8715391
20090225 6.0 L 221.1 0.1366013 0.8723179
20090225 12.0 L 221.1 0.09714544 0.907424
20090225 18.0 L 221.1 0.08486371 0.9186375
20090226 0.0 L 221.1 0.1043419 0.9009173
20090226 6.0 L 221.1 0.09899834 0.9057442
20090226 12.0 L 221.1 0.06997729 0.932415
20090226 18.0 L 221.1 0.06236335 0.9395414
20090227 0.0 L 221.1 0.08714058 0.9165482
20090227 6.0 L 221.1 0.07123991 0.9312385
20090227 12.0 L 221.1 0.04845713 0.9526982
20090227 18.0 L 221.1 0.04508054 0.9559205
20090228 0.0 L 221.1 0.06941917 0.9329355
20090228 6.0 L 221.1 0.06427909 0.9377432
20090228 12.0 L 221.1 0.04983157 0.9513896
20090228 18.0 L 221.1 0.05944843 0.9422841
20090301 0.0 L 221.1 0.09684575 0.907696
20090301 6.0 L 221.1 0.318938 0.7269207
20090301 12.0 L 221.1 0.2402365 0.7864419
20090301 18.0 L 221.1 0.1767006 0.8380306
20090302 0.0 L 221.1 0.1620766 0.8503761
20090302 6.0 L 221.1 0.1132416 0.8929349
20090302 12.0 L 221.1 0.1133335 0.8928528
20090302 18.0 L 221.1 0.09811522 0.9065444
20090303 0.0 L 221.1 0.112662 0.8934526
20090303 6.0 L 221.1 0.08878124 0.9150457
20090303 12.0 L 221.1 0.07756588 0.9253661
20090303 18.0 L 221.1 0.07556796 0.9272167
20090304 0.0 L 221.1 0.1108688 0.8950561
20090304 6.0 L 221.1 0.1174467 0.8891879
20090304 12.0 L 221.1 0.09132602 0.9127201
20090304 18.0 L 221.1 0.07290672 0.9296875
20090305 0.0 L 221.1 0.08307832 0.9202791
20090305 6.0 L 221.1 0.08339189 0.9199905
20090305 12.0 L 221.1 0.08802089 0.9157417
20090305 18.0 L 221.1 0.0708401 0.9316108
20090306 0.0 L 221.1 0.07892763 0.9241068
20090306 6.0 L 221.1 0.08882874 0.9150023
20090306 12.0 L 221.1 0.08045946 0.9226923
20090306 18.0 L 221.1 0.08810641 0.9156634
20090307 0.0 L 221.1 0.1095244 0.8962603
20090307 6.0 L 221.1 0.1289801 0.8789915
20090307 12.0 L 221.1 0.1211791 0.8858753
20090307 18.0 L 221.1 0.1202188 0.8867264
20090308 0.0 L 221.1 0.116334 0.8901778
20090308 6.0 L 221.1 0.1254346 0.8821135
20090308 12.0 L 221.1 0.1124123 0.8936757
20090308 18.0 L 221.1 0.1059452 0.8994739
20090309 0.0 L 221.1 0.1328672 0.8755813
20090309 6.0 L 221.1 0.1003571 0.9045144
20090309 12.0 L 221.1 0.1077035 0.8978938
20090309 18.0 L 221.1 0.07858739 0.9244213
20090310 0.0 L 221.1 0.1539324 0.85733
20090310 6.0 L 221.1 0.1380802 0.8710289
20090310 12.0 L 221.1 0.1456179 0.8644879
20090310 18.0 L 221.1 0.1465289 0.8637008
20090311 0.0 L 221.1 0.2339113 0.791432
20090311 6.0 L 221.1 0.2546113 0.7752178
20090311 12.0 L 221.1 0.2296419 0.7948182
20090311 18.0 L 221.1 0.2111163 0.8096799
20090312 0.0 L 221.1 0.3212865 0.7252154
20090312 6.0 L 221.1 0.4431847 0.6419886
20090312 12.0 L 221.1 0.2676469 0.7651779
20090312 18.0 L 221.1 0.368955 0.6914565
20090313 0.0 L 221.1 0.6244131 0.5355756
20090313 6.0 L 221.1 0.2718716 0.7619521
20090313 12.0 L 221.1 0.214078 0.8072854
20090313 18.0 L 221.1 0.1829305 0.8328261
20090314 0.0 L 221.1 0.1830692 0.8327105
