"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20101209 6.0 A 221.1 0.08868594 0.9151329
20101209 12.0 A 221.1 0.08346599 0.9199224
20101209 18.0 A 221.1 0.07249738 0.9300682
20101210 0.0 A 221.1 0.1088133 0.8968978
20101210 6.0 A 221.1 0.09464563 0.9096953
20101210 12.0 A 221.1 0.0782791 0.9247063
20101210 18.0 A 221.1 0.07949302 0.9235845
20101211 0.0 A 221.1 0.1083858 0.8972814
20101211 6.0 A 221.1 0.1114696 0.8945186
20101211 12.0 A 221.1 0.0884931 0.9153094
20101211 18.0 A 221.1 0.09650724 0.9080033
20101212 0.0 A 221.1 0.1408175 0.8686479
20101212 6.0 A 221.1 0.09572765 0.9087115
20101212 12.0 A 221.1 0.09751651 0.9070874
20101212 18.0 A 221.1 0.08485153 0.9186487
20101213 0.0 A 221.1 0.1444208 0.8655235
20101213 6.0 A 221.1 0.05858949 0.9430938
20101213 12.0 A 221.1 0.05797989 0.9436689
20101213 18.0 A 221.1 0.1323927 0.8759969
20101214 0.0 A 221.1 0.08404321 0.9193915
20101214 6.0 A 221.1 0.06075408 0.9410546
20101214 12.0 A 221.1 0.04652637 0.9545394
20101214 18.0 A 221.1 0.09070393 0.9132881
20101215 0.0 A 221.1 0.08702605 0.9166532
20101215 6.0 A 221.1 0.05071851 0.9505462
20101215 12.0 A 221.1 0.07299409 0.9296063
20101215 18.0 A 221.1 0.09849277 0.9062022
20101216 0.0 A 221.1 0.1316687 0.8766314
20101216 6.0 A 221.1 0.09609591 0.9083769
20101216 12.0 A 221.1 0.06702588 0.935171
20101216 18.0 A 221.1 0.08109162 0.9221092
20101217 0.0 A 221.1 0.1045108 0.9007651
20101217 6.0 A 221.1 0.08547576 0.9180754
20101217 12.0 A 221.1 0.06338171 0.9385851
20101217 18.0 A 221.1 0.07094392 0.9315141
20101218 0.0 A 221.1 0.1276763 0.8801382
20101218 6.0 A 221.1 0.1419669 0.86765
20101218 12.0 A 221.1 0.1145835 0.8917375
20101218 18.0 A 221.1 0.1092889 0.8964714
20101219 0.0 A 221.1 0.1634853 0.849179
20101219 6.0 A 221.1 0.1829823 0.8327829
