"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20161027 21.0 S 221.1 0.03709628 0.9635834
20161028 0.0 S 221.1 0.03684044 0.9638299
20161028 3.0 S 221.1 0.03664896 0.9640145
20161028 6.0 S 221.1 0.03561713 0.9650097
20161028 9.0 S 221.1 0.0353939 0.9652251
20161028 12.0 S 221.1 0.03482449 0.9657749
20161028 15.0 S 221.1 0.0345311 0.9660583
20161028 18.0 S 221.1 0.03467454 0.9659197
20161028 21.0 S 221.1 0.03389962 0.9666685
20161029 0.0 S 221.1 0.03310896 0.9674331
20161029 3.0 S 221.1 0.03316918 0.9673749
20161029 6.0 S 221.1 0.03243534 0.968085
20161029 9.0 S 221.1 0.03235472 0.9681631
20161029 12.0 S 221.1 0.03290627 0.9676293
20161029 15.0 S 221.1 0.03336238 0.967188
20161029 18.0 S 221.1 0.03406663 0.9665071
20161029 21.0 S 221.1 0.03514968 0.9654609
20161030 0.0 S 221.1 0.03465855 0.9659352
20161030 3.0 S 221.1 0.0346653 0.9659287
20161030 6.0 S 221.1 0.03504257 0.9655643
20161030 9.0 S 221.1 0.03516125 0.9654497
20161030 12.0 S 221.1 0.03383364 0.9667323
20161030 15.0 S 221.1 0.036933 0.9637407
20161030 18.0 S 221.1 0.03942447 0.9613426
20161030 21.0 S 221.1 0.04328524 0.9576382
20161031 0.0 S 221.1 0.04291569 0.9579922
20161031 3.0 S 221.1 0.04345611 0.9574746
20161031 6.0 S 221.1 0.04368389 0.9572565
20161031 9.0 S 221.1 0.04665315 0.9544184
20161031 12.0 S 221.1 0.04670561 0.9543683
20161031 15.0 S 221.1 0.04519633 0.9558098
20161031 18.0 S 221.1 0.04243933 0.9584486
20161031 21.0 S 221.1 0.03733223 0.963356
20161101 0.0 S 221.1 0.03299813 0.9675404
20161101 3.0 S 221.1 0.0379883 0.9627242
20161101 6.0 S 221.1 0.0449458 0.9560493
20161101 9.0 S 221.1 0.04693228 0.954152
20161101 12.0 S 221.1 0.04816033 0.952981
20161101 15.0 S 221.1 0.04737427 0.9537304
20161101 18.0 S 221.1 0.04644741 0.9546148
20161101 21.0 S 221.1 0.04618194 0.9548682
20161102 0.0 S 221.1 0.04598779 0.9550536
20161102 3.0 S 221.1 0.04952102 0.9516852
20161102 6.0 S 221.1 0.05098879 0.9502893
20161102 9.0 S 221.1 0.06296445 0.9389768
20161102 12.0 S 221.1 0.0600443 0.9417228
20161102 15.0 S 221.1 0.05987855 0.9418789
20161102 18.0 S 221.1 0.05919652 0.9425215
20161102 21.0 S 221.1 0.05986248 0.9418941
20161103 0.0 S 221.1 0.06059523 0.9412041
20161103 3.0 S 221.1 0.05098476 0.9502932
20161103 6.0 S 221.1 0.0477644 0.9533584
20161103 9.0 S 221.1 0.04639847 0.9546615
20161103 12.0 S 221.1 0.04433091 0.9566373
20161103 15.0 S 221.1 0.03908514 0.9616688
20161103 18.0 S 221.1 0.03759119 0.9631066
20161103 21.0 S 221.1 0.04062825 0.960186
20161104 0.0 S 221.1 0.04109992 0.9597332
20161104 3.0 S 221.1 0.04262606 0.9582697
20161104 6.0 S 221.1 0.03956222 0.9612101
20161104 9.0 S 221.1 0.0437843 0.9571604
20161104 12.0 S 221.1 0.05196269 0.9493643
20161104 15.0 S 221.1 0.0573378 0.944275
20161104 18.0 S 221.1 0.06278283 0.9391474
20161104 21.0 S 221.1 0.05854353 0.9431372
20161105 0.0 S 221.1 0.05752614 0.9440972
20161105 3.0 S 221.1 0.05672867 0.9448504
20161105 6.0 S 221.1 0.05732402 0.9442881
20161105 9.0 S 221.1 0.05824885 0.9434152
20161105 12.0 S 221.1 0.05969071 0.9420559
20161105 15.0 S 221.1 0.06095838 0.9408624
20161105 18.0 S 221.1 0.065922 0.9362039
20161105 21.0 S 221.1 0.06715556 0.9350497
20161106 0.0 S 221.1 0.06923666 0.9331058
20161106 3.0 S 221.1 0.06906743 0.9332638
20161106 6.0 S 221.1 0.07199138 0.9305389
20161106 9.0 S 221.1 0.0740929 0.9285854
20161106 12.0 S 221.1 0.07549541 0.927284
20161106 15.0 S 221.1 0.07586266 0.9269435
20161106 18.0 S 221.1 0.07342185 0.9292088
20161106 21.0 S 221.1 0.07674334 0.9261275
20161107 0.0 S 221.1 0.07676773 0.9261049
20161107 3.0 S 221.1 0.07864618 0.9243669
20161107 6.0 S 221.1 0.07952564 0.9235543
20161107 9.0 S 221.1 0.07899779 0.924042
20161107 12.0 S 221.1 0.07726389 0.9256456
20161107 15.0 S 221.1 0.07531084 0.9274551
20161107 18.0 S 221.1 0.07452854 0.928181
20161107 21.0 S 221.1 0.07274726 0.9298358
20161108 0.0 S 221.1 0.07309431 0.9295132
20161108 3.0 S 221.1 0.07038163 0.9320381
20161108 6.0 S 221.1 0.06573337 0.9363805
20161108 9.0 S 221.1 0.06238754 0.9395187
20161108 12.0 S 221.1 0.05373962 0.9476788
20161108 15.0 S 221.1 0.04664391 0.9544272
20161108 18.0 S 221.1 0.039855 0.9609288
20161108 21.0 S 221.1 0.03915254 0.961604
20161109 0.0 S 221.1 0.03979403 0.9609874
20161109 3.0 S 221.1 0.03990333 0.9608823
20161109 6.0 S 221.1 0.04135007 0.9594932
20161109 9.0 S 221.1 0.04245709 0.9584316
20161109 12.0 S 221.1 0.03825661 0.9624659
20161109 15.0 S 221.1 0.04002759 0.9607629
20161109 18.0 S 221.1 0.03975306 0.9610267
20161109 21.0 S 221.1 0.03933103 0.9614324
20161110 0.0 S 221.1 0.0386942 0.9620449
20161110 3.0 S 221.1 0.04044641 0.9603606
20161110 6.0 S 221.1 0.03804437 0.9626702
20161110 9.0 S 221.1 0.03656137 0.9640989
20161110 12.0 S 221.1 0.03623205 0.9644165
20161110 15.0 S 221.1 0.03830746 0.962417
20161110 18.0 S 221.1 0.04005728 0.9607344
20161110 21.0 S 221.1 0.04376305 0.9571807
20161111 0.0 S 221.1 0.04516651 0.9558383
20161111 3.0 S 221.1 0.0457159 0.9553133
20161111 6.0 S 221.1 0.0495237 0.9516826
20161111 9.0 S 221.1 0.05049676 0.950757
20161111 12.0 S 221.1 0.05216962 0.9491679
20161111 15.0 S 221.1 0.05400938 0.9474232
20161111 18.0 S 221.1 0.0579425 0.9437042
20161111 21.0 S 221.1 0.0621518 0.9397402
20161112 0.0 S 221.1 0.06262541 0.9392953
20161112 3.0 S 221.1 0.05738881 0.9442269
20161112 6.0 S 221.1 0.04192617 0.9589406
20161112 9.0 S 221.1 0.03814798 0.9625705
20161112 12.0 S 221.1 0.04283893 0.9580657
20161112 15.0 S 221.1 0.05100219 0.9502766
20161112 18.0 S 221.1 0.05213752 0.9491983
20161112 21.0 S 221.1 0.05050894 0.9507454
20161113 0.0 S 221.1 0.06250079 0.9394123
20161113 3.0 S 221.1 0.0623752 0.9395303
20161113 6.0 S 221.1 0.06360716 0.9383736
20161113 9.0 S 221.1 0.05090933 0.9503648
20161113 12.0 S 221.1 0.05171374 0.9496007
20161113 15.0 S 221.1 0.04999332 0.9512358
20161113 18.0 S 221.1 0.04903537 0.9521475
20161113 21.0 S 221.1 0.05113491 0.9501505
20161114 0.0 S 221.1 0.05133075 0.9499644
20161114 3.0 S 221.1 0.04936726 0.9518315
20161114 6.0 S 221.1 0.04675126 0.9543247
20161114 9.0 S 221.1 0.04571464 0.9553145
20161114 12.0 S 221.1 0.04548889 0.9555302
20161114 15.0 S 221.1 0.04524066 0.9557674
20161114 18.0 S 221.1 0.04652762 0.9545382
20161114 21.0 S 221.1 0.05037207 0.9508756
20161115 0.0 S 221.1 0.0501303 0.9511055
20161115 3.0 S 221.1 0.05113874 0.9501468
20161115 6.0 S 221.1 0.05152543 0.9497795
20161115 12.0 S 221.1 0.06729933 0.9349153
20161115 18.0 S 221.1 0.05723736 0.9443699
20161116 0.0 S 221.1 0.06010456 0.9416661
20161116 6.0 S 221.1 0.0467601 0.9543163
20161116 12.0 S 221.1 0.04331103 0.9576135
20161116 18.0 S 221.1 0.04460198 0.9563781
20161117 0.0 S 221.1 0.05173109 0.9495842
20161117 6.0 S 221.1 0.05374414 0.9476745
20161117 12.0 S 221.1 0.04745149 0.9536567
20161117 18.0 S 221.1 0.04193967 0.9589276
20161118 0.0 S 221.1 0.04069992 0.9601172
20161118 6.0 S 221.1 0.0416511 0.9592044
20161118 12.0 S 221.1 0.04117169 0.9596644
20161118 18.0 S 221.1 0.03925207 0.9615083
20161119 0.0 S 221.1 0.03680645 0.9638627
20161119 6.0 S 221.1 0.03687225 0.9637993
20161119 12.0 S 221.1 0.03545468 0.9651665
20161119 18.0 S 221.1 0.03570417 0.9649257
20161120 0.0 S 221.1 0.03588264 0.9647535
20161120 6.0 S 221.1 0.0357487 0.9648827
20161120 12.0 S 221.1 0.03477557 0.9658222
20161120 18.0 S 221.1 0.041484 0.9593647
20161121 0.0 S 221.1 0.04621806 0.9548337
20161121 6.0 S 221.1 0.05351756 0.9478893
20161121 12.0 S 221.1 0.05553831 0.9459758
20161121 18.0 S 221.1 0.05092293 0.9503519
20161122 0.0 S 221.1 0.04637755 0.9546815
20161122 6.0 S 221.1 0.045973 0.9550677
20161122 12.0 S 221.1 0.03974337 0.961036
20161122 18.0 S 221.1 0.04910667 0.9520796
20161123 0.0 S 221.1 0.04184941 0.9590142
